city,city_stem,status,expected_image_count,finished_image_count,missing_image_count,extra_finished_count,shard_count,missing_examples,extra_examples,error
Madrid,madrid,complete,99927,99927,0,162797,4106,,--0j6xB37AMHueqdA8IxEw_0.jpg;--0j6xB37AMHueqdA8IxEw_180.jpg;--0j6xB37AMHueqdA8IxEw_270.jpg;--0j6xB37AMHueqdA8IxEw_90.jpg;--2mef-_E7JxQYHkXy44ug_0.jpg,
Stockholm,stockholm,complete,69398,69398,0,158913,3568,,--0014h_jZ7TF0N1OkCAqA_0.jpg;--0014h_jZ7TF0N1OkCAqA_180.jpg;--0014h_jZ7TF0N1OkCAqA_270.jpg;--0014h_jZ7TF0N1OkCAqA_90.jpg;--5qS0uYqmtPOorJH5Kw2A_0.jpg,
Bangkok,bangkok,complete,737463,737463,0,398127,17744,,--1oG6PVTIADfiDQllw1NQ_0.jpg;--1oG6PVTIADfiDQllw1NQ_180.jpg;--1oG6PVTIADfiDQllw1NQ_270.jpg;--1oG6PVTIADfiDQllw1NQ_90.jpg;--5MjeI9XkWwYzbw5XTvmw_0.jpg,
Istanbul,istanbul,complete,458284,458284,0,0,7161,,,
Kampala,kampala,empty_expected,0,0,0,0,0,,,
Rovno,rovno,empty_expected,0,0,0,0,0,,,
Kyiv,kyiv,empty_expected,0,0,0,309681,4839,,--GFDhp8h1DJ8rS4DScP9w_0.jpg;--GFDhp8h1DJ8rS4DScP9w_180.jpg;--GFDhp8h1DJ8rS4DScP9w_270.jpg;--GFDhp8h1DJ8rS4DScP9w_90.jpg;--GevHi97wEq4WhoSWPfYg_90.jpg,
Dubai,dubai,complete,52643,52643,0,328593,5957,,---zeegImMu4850TYtEVZg_0.jpg;---zeegImMu4850TYtEVZg_180.jpg;---zeegImMu4850TYtEVZg_270.jpg;---zeegImMu4850TYtEVZg_90.jpg;--38YXSQa9vm_uL2LhFH8Q_0.jpg,
Manchester,manchester,complete,61249,61249,0,56859,1846,,--0zl_7OmIVDlRTb9gudlA_0.jpg;--0zl_7OmIVDlRTb9gudlA_180.jpg;--0zl_7OmIVDlRTb9gudlA_270.jpg;--0zl_7OmIVDlRTb9gudlA_90.jpg;--8yK5-ePfXS1DFs_03cXA_0.jpg,
Sheffield,sheffield,complete,70578,70578,0,119515,2971,,--8eLN_1t96bB21BINdTZw_180.jpg;--8eLN_1t96bB21BINdTZw_270.jpg;--8eLN_1t96bB21BINdTZw_90.jpg;--Q283lnYeh-7IiQBxwt4g_0.jpg;--Q283lnYeh-7IiQBxwt4g_270.jpg,
London,london,complete,612624,612624,0,989061,25027,,---KYBdGLaUUDIgoF03yIQ_0.jpg;---KYBdGLaUUDIgoF03yIQ_180.jpg;---KYBdGLaUUDIgoF03yIQ_270.jpg;---KYBdGLaUUDIgoF03yIQ_90.jpg;--2j-oMT5ncuKgGHRvK_dg_0.jpg,
Killeen,killeen,complete,23954,23954,0,52532,1196,,--1jKqz3BYvLxmHCPPBq5w_0.jpg;--1jKqz3BYvLxmHCPPBq5w_180.jpg;--1jKqz3BYvLxmHCPPBq5w_270.jpg;--1jKqz3BYvLxmHCPPBq5w_90.jpg;-0CK_HDL6L3g1nNgnhARBA_0.jpg,
Modesto,modesto,complete,26152,26152,0,53492,1245,,--MCsrB_xb7bXC2wlopA4Q_0.jpg;--MCsrB_xb7bXC2wlopA4Q_180.jpg;--MCsrB_xb7bXC2wlopA4Q_270.jpg;--MCsrB_xb7bXC2wlopA4Q_90.jpg;--p9VUehBP1yb6xupX0sXA_0.jpg,
"Gainesville, FL",gainesvillefl,error,0,0,0,0,0,,,city image index not found: /lustre1/g/geog_pyloo/05_timemachine/_transformed/t_classifier_img_yolo8_inf_dir/gainesvillefl.parquet
Minneapolis,minneapolis,complete,84807,84807,0,51526,2131,,--Vu60DPAU9yuhpDiZ6g8Q_0.jpg;--Vu60DPAU9yuhpDiZ6g8Q_180.jpg;--Vu60DPAU9yuhpDiZ6g8Q_270.jpg;--Vu60DPAU9yuhpDiZ6g8Q_90.jpg;--Wk9TBpJnE_4Yxh-37dww_180.jpg,
Toledo,toledo,complete,78875,78875,0,87123,2594,,---MwX6DFjRnZTKk3FHNsw_0.jpg;---MwX6DFjRnZTKk3FHNsw_180.jpg;---MwX6DFjRnZTKk3FHNsw_270.jpg;---MwX6DFjRnZTKk3FHNsw_90.jpg;--09YtOe-MnGi6ukZXsivQ_0.jpg,
Cleveland,cleveland,complete,114646,114646,0,66177,2826,,--D1_GO1i-D-GpijrYzAeQ_0.jpg;--D1_GO1i-D-GpijrYzAeQ_180.jpg;--D1_GO1i-D-GpijrYzAeQ_270.jpg;--D1_GO1i-D-GpijrYzAeQ_90.jpg;--H-HoZBZ9YihEtk1yuUYw_0.jpg,
"Portland, OR",portlandor,error,0,0,0,0,0,,,city image index not found: /lustre1/g/geog_pyloo/05_timemachine/_transformed/t_classifier_img_yolo8_inf_dir/portlandor.parquet
Raleigh,raleigh,complete,196118,196118,0,123489,4994,,--7yb7XlNQI7VfMP3a_P7Q_0.jpg;--7yb7XlNQI7VfMP3a_P7Q_180.jpg;--7yb7XlNQI7VfMP3a_P7Q_270.jpg;--7yb7XlNQI7VfMP3a_P7Q_90.jpg;--FeXrm6WFB3kmc-9xI0Gw_0.jpg,
Miami,miami,complete,30255,30255,0,81302,1744,,--2NSVHuebMkr_iu9akDkA_0.jpg;--2NSVHuebMkr_iu9akDkA_180.jpg;--2NSVHuebMkr_iu9akDkA_270.jpg;--2NSVHuebMkr_iu9akDkA_90.jpg;--UDU3eGn50sYA4YMMH7wQ_0.jpg,
San Francisco,sanfrancisco,complete,37967,37967,0,79322,1833,,--A3AobZ13QaNGqMbLRZKQ_0.jpg;--A3AobZ13QaNGqMbLRZKQ_180.jpg;--A3AobZ13QaNGqMbLRZKQ_270.jpg;--A3AobZ13QaNGqMbLRZKQ_90.jpg;--DKYEusmyyNsz0Vei0Dow_0.jpg,
Boston,boston,complete,175700,175700,0,277734,7085,,--0JDNnw9QNJK256LFJrxg_0.jpg;--0JDNnw9QNJK256LFJrxg_180.jpg;--0JDNnw9QNJK256LFJrxg_270.jpg;--0JDNnw9QNJK256LFJrxg_90.jpg;--2nZRAElW6zPXcYK88UKQ_0.jpg,
Denver,denver,complete,107485,107485,0,190875,4662,,--5VMxFKDiYPHIU8C3PmHA_0.jpg;--5VMxFKDiYPHIU8C3PmHA_180.jpg;--5VMxFKDiYPHIU8C3PmHA_270.jpg;--5VMxFKDiYPHIU8C3PmHA_90.jpg;--BqnH2MnKJWxyVM2nNuiw_180.jpg,
Detroit,detroit,complete,125161,125161,0,241389,5728,,--0y02jTa6PVAvz5PSJ5Dg_0.jpg;--0y02jTa6PVAvz5PSJ5Dg_180.jpg;--0y02jTa6PVAvz5PSJ5Dg_270.jpg;--0y02jTa6PVAvz5PSJ5Dg_90.jpg;--7ufRttrKossBziH3SEGw_0.jpg,
New York,newyork,complete,300592,300592,0,476371,12141,,--49pMtRiADIhFuE60tcrg_0.jpg;--49pMtRiADIhFuE60tcrg_180.jpg;--49pMtRiADIhFuE60tcrg_270.jpg;--49pMtRiADIhFuE60tcrg_90.jpg;--4z9CKd5LytmSfEbqUDkQ_0.jpg,
Los Angeles,losangeles,complete,340311,340311,0,622234,15040,,---b-q58ZXSYi-Z3f66sVw_0.jpg;---b-q58ZXSYi-Z3f66sVw_180.jpg;---b-q58ZXSYi-Z3f66sVw_270.jpg;---b-q58ZXSYi-Z3f66sVw_90.jpg;--1N5pYadfTOymcgg4P3WA_0.jpg,
Houston,houston,incomplete,1035433,286213,749220,727355,15837,---8y04Jcodx6JOEkbwNtQ_0.jpg;---8y04Jcodx6JOEkbwNtQ_180.jpg;---8y04Jcodx6JOEkbwNtQ_270.jpg;---8y04Jcodx6JOEkbwNtQ_90.jpg;--0_WYcE6Q1-YyScvLgltg_0.jpg,---AO45wxJ4rZ6GZg3BYoA_0.jpg;---AO45wxJ4rZ6GZg3BYoA_180.jpg;---AO45wxJ4rZ6GZg3BYoA_270.jpg;---AO45wxJ4rZ6GZg3BYoA_90.jpg;---OOyOOSrC3KCej7w3XJw_0.jpg,
Philadelphia,philadelphia,complete,152081,152081,0,190850,5359,,--1dw_uG_RexyzDK7_60HA_0.jpg;--1dw_uG_RexyzDK7_60HA_180.jpg;--1dw_uG_RexyzDK7_60HA_270.jpg;--1lcLIy40uINLpVb_PEnw_0.jpg;--1lcLIy40uINLpVb_PEnw_180.jpg,
Chicago,chicago,complete,441897,441897,0,227750,10464,,--CUwYy4yr0j_tx2ISQi6g_0.jpg;--CUwYy4yr0j_tx2ISQi6g_180.jpg;--CUwYy4yr0j_tx2ISQi6g_270.jpg;--CUwYy4yr0j_tx2ISQi6g_90.jpg;--D64_ZOVJYvWKvb3WoXZQ_0.jpg,
